sortOrder,concept_id,level_curated,parent_id,en_label,id_key,is_active,date_range,date_from,date_to,L0_en,L0_ru,L0_zh,L0_kk,L0_ky,L0_tg,L0_tk,L0_uz,H1_en,H1_ru,H1_zh,H1_kk,H1_ky,H1_tg,H1_tk,H1_uz,H2_en,H2_ru,H2_zh,H2_kk,H2_ky,H2_tg,H2_tk,H2_uz,H3_en,H3_ru,H3_zh,H3_kk,H3_ky,H3_tg,H3_tk,H3_uz,Notes_en,Notes_ru,Notes_zh,Notes_ky,Notes_tg,Notes_tk,Notes_uz,H4_en,H4_ru,H4_zh,H4_kk,H4_ky,H4_tg,H4_tk,H4_uz,Notes_kk,join_key_norm
0,,,,,,,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,CP-2-0064,2,CP-1-0013,Mayemir stage of Early Iron Age of Altay and Eastern Kazakhstan,L2|Mayemir stage of Early Iron Age of Altay and Eastern Kazakhstan|Saka period,True,end of the 9th – 2nd-3rd quarter of the 6th century BCE,-800,-525,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Saka period,Сакская эпоха,塞迦时期,Сақ дәуірі,Сак доору,Давраи сакоиҳо,Sakslar döwri,Saklar davri,Mayemir stage of Early Iron Age of Altay and Eastern Kazakhstan,Майэмирский этап РЖВ Алтая и Восточного Казахстана,阿尔泰和哈萨克斯坦东部早期铁器时代的梅耶米尔阶段,Майэмир кезеңі (Алтай және Шығыс Қазақстан),Алтай жана Чыгыш Казакстан ЭТКнын Майэмир этабы,Марҳилаи Майемири асри оҳани Олтой ва Қазоқистони Шарқӣ,Altaýyň we Gündogar Gazagystanyň irki demir asyrynyň maýemir tapgyry,Oltoy va Sharqiy Qozog‘istonning ilk temir davri Mayemir bosqichi,,,,,,,,,,,,,,,,,,,,,,,,,L2|Mayemir stage of Early Iron Age of Altay and Eastern Kazakhstan|Saka period
105,CP-2-0063,2,CP-1-0013,Kulazhorgin stage of Early Iron Age of Altay and Eastern Kazakhstan,L2|Kulazhorgin stage of Early Iron Age of Altay and Eastern Kazakhstan|Saka period,True,3rd - 1st centuries BCE,-300,0,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Saka period,Сакская эпоха,塞迦时期,Сақ дәуірі,Сак доору,Давраи сакоиҳо,Sakslar döwri,Saklar davri,Kulazhorgin stage of Early Iron Age of Altay and Eastern Kazakhstan,Кулажоргинский этап РЖВ Алтая и Восточного Казахстана,阿尔泰和哈萨克斯坦东部早期铁时代的库拉佐金阶段,Құлажоргин кезеңі (Алтай және Шығыс Қазақстан),Алтай жана Чыгыш Казакстан ЭТКнын кулажорг этабы,Мархилаи Кулажоргини асри охани Олтой ва Қазоқистони Шарқӣ,Altaýyň we Gündogar Gazagystanyň irki demir asyrynyň Kulažorgin tapgyry,Oltoy va Sharqiy Qozog‘istonning ilk temir davri Kulojorgin bosqichi,,,,,,,,,,,,,,,,,,,,,,,,,L2|Kulazhorgin stage of Early Iron Age of Altay and Eastern Kazakhstan|Saka period
106,CP-2-0066,2,CP-1-0013,Saka culture of Aral Sea region,L2|Saka culture of Aral Sea region|Saka period,True,the end of the 9th – 6th centuries BCE,-825,-501,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Saka period,Сакская эпоха,塞迦时期,Сақ дәуірі,Сак доору,Давраи сакоиҳо,Sakslar döwri,Saklar davri,Saka culture of Aral Sea region,Сакская культура Приаралья,咸海萨卡文化,Сақтар мәдениеті (Арал маңы),Приаралья Сак маданияты,Маданияти сакоии назди Арал,Aral deňziniň sebitiniň Saks medeniýeti,Orolbo‘yi saklari madaniyati,,,,,,,,,,,,,,,,,,,,,,,,,L2|Saka culture of Aral Sea region|Saka period
107,CP-1-0015,1,,Sarmats/Sarmatians,L1|Sarmats/Sarmatians|NA,True,(4th century BCE – 4th century CE),-400,400,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Sarmats/Sarmatians,Сарматы,萨尔马提亚,Сарматтар,Сарматтар,Сарматҳо,Sarmatlar,Sarmatlar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1|Sarmats/Sarmatians|NA
108,CP-2-0070,2,CP-1-0015,Prohorov (early-Sarmat) culture,L2|Prohorov (early-Sarmat) culture|Sarmats/Sarmatians,True,4th-2nd centuries BCE,-400,-201,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Sarmats/Sarmatians,Сарматы,萨尔马提亚,Сарматтар,Сарматтар,Сарматҳо,Sarmatlar,Sarmatlar,Prohorov (early-Sarmat) culture,Прохоровская (раннесарматская) культура,普罗霍洛夫（早期萨玛特）文化,Прохоров мәдениеті (Ерте сарматтық кезең),Прохоровская (Эрте-Сармат) маданияты,Маданияти Прохоров (сарматҳои ибтидоӣ),Prohorow (Irki Sarmat) medniýeti,Proxorovka (ilk sarmatlar) madaniyati,,,,,,,,,,,,,,,,,,,,,,,,,L2|Prohorov (early-Sarmat) culture|Sarmats/Sarmatians
109,CP-2-0069,2,CP-1-0015,Mid-Sarmat culture,L2|Mid-Sarmat culture|Sarmats/Sarmatians,True,2nd century BCE – 1st century CE,-200,100,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Sarmats/Sarmatians,Сарматы,萨尔马提亚,Сарматтар,Сарматтар,Сарматҳо,Sarmatlar,Sarmatlar,Mid-Sarmat culture,Среднесарматская культура,中期萨玛特文化,Орта сармат мәдениеті,Орто-Сармат маданияты,Маданияти сарматҳои миёна,Orta Sarmat medeniýeti,O‘rta sarmatlar madaniyati,,,,,,,,,,,,,,,,,,,,,,,,,L2|Mid-Sarmat culture|Sarmats/Sarmatians
110,CP-2-0068,2,CP-1-0015,Late-Sarmat culture,L2|Late-Sarmat culture|Sarmats/Sarmatians,True,2nd-4th centuries CE,200,400,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Sarmats/Sarmatians,Сарматы,萨尔马提亚,Сарматтар,Сарматтар,Сарматҳо,Sarmatlar,Sarmatlar,Late-Sarmat culture,Позднесарматская культура,晚期萨玛特文化,Кейінгі сармат мәдениеті,Кеч-Сармат маданияты,Маданияти сарматҳои дерин,Giçki Sarmat medeniýeti,So‘nggi sarmatlar madaniyati,,,,,,,,,,,,,,,,,,,,,,,,,L2|Late-Sarmat culture|Sarmats/Sarmatians
111,CP-1-0014,1,,Sargat culture (forest-steppe of the Western Siberia and Trans-Urals),L1|Sargat culture (forest-steppe of the Western Siberia and Trans-Urals)|NA,True,from 7th-6th centuries BCE to 3rd-5th centuries CE,-700,500,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Sargat culture (forest-steppe of the Western Siberia and Trans-Urals),Саргатская культура (лесостепь Западной Сибири и Зауралья) –,萨尔加特文化（西伯利亚西部和乌拉尔山脉的森林草原）,Сарғат мәдениеті (Батыс Сібір мен Оралдың орманды даласы),Саргат маданияты (Батыш Сибирдин жана Зауралдын токой талаасы),Маданияти Саргат (дашту чангалҳои Сибири Ғарбӣ ва Транс-Урал),Sargat medeniýeti (Günbatar Sibiriň we Trans-Uralyň tokaý sährasy),Sargat madaniyati (G‘arbiy Sibir va Uralorti o‘rmon-dasht hududlari),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1|Sargat culture (forest-steppe of the Western Siberia and Trans-Urals)|NA
112,CP-1-0004,1,,Early state formations,L1|Early state formations|NA,True,2nd century BCE – 5th century CE),-200,500,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Early state formations,Ранние государственные образования,早期状态形成,Ерте мемлекеттік құрылымдар,Алгачкы мамлекеттик түзүмдөр,Ташкили давлатҳои ибтидоӣ,Irki döwlet düzümleri,Ilk davlatchilik shakllari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1|Early state formations|NA
113,CP-2-0016,2,CP-1-0004,Kangyuy,L2|Kangyuy|Early state formations,True,2nd century BCE – 5th century CE,-200,500,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Early state formations,Ранние государственные образования,早期状态形成,Ерте мемлекеттік құрылымдар,Алгачкы мамлекеттик түзүмдөр,Ташкили давлатҳои ибтидоӣ,Irki döwlet düzümleri,Ilk davlatchilik shakllari,Kangyuy,Кангюй,甘珠尔,Кангюй,Кангуй,Кангюй,Kangýuý,Qang‘,,,,,,,,,,,,,,,,,,,,,,,,,L2|Kangyuy|Early state formations
114,CP-2-0017,2,CP-1-0004,Usun,L2|Usun|Early state formations,True,2nd century BCE – 5th century CE,-200,500,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Early state formations,Ранние государственные образования,早期状态形成,Ерте мемлекеттік құрылымдар,Алгачкы мамлекеттик түзүмдөр,Ташкили давлатҳои ибтидоӣ,Irki döwlet düzümleri,Ilk davlatchilik shakllari,Usun,Усунь,乌孙,Үйсіндер,Усун,Усун,Usun,Usun,,,,,,,,,,,,,,,,,,,,,,,,,L2|Usun|Early state formations
115,CP-1-0017,1,,Sedentary-agricultural cultures of the South-Eastern Aral Sea region,L1|Sedentary-agricultural cultures of the South-Eastern Aral Sea region|NA,True,7th-6th centuries of BCE – 7th-8th centuries CE,-700,800,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Sedentary-agricultural cultures of the South-Eastern Aral Sea region,Оседло-земледельческие культуры Юго-Восточного Приаралья,东南咸海地区的长期单一种植农业文化,Отырықшы-егіншілік мәдениеттер (Арал маңының оңтүстік-шығысы),Түштүк-Чыгыш Приаралланын отурукташуу жана дыйканчылык маданияттары,Маданиятҳои кишоварзи минтақаҳои ҷанубу шарқии назди Арал,Günorta-Gündogar Aral deňziniň sebitleýin oturymly oba hojalygy medeniýetleri,Janubi-sharqiy Orolbo‘yi o‘troq-dehqonlar madaniyati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1|Sedentary-agricultural cultures of the South-Eastern Aral Sea region|NA
116,CP-2-0074,2,CP-1-0017,Chrikirabad culture,L2|Chrikirabad culture|Sedentary-agricultural cultures of the South-Eastern Aral Sea region,True,4th-2nd centuries BCE,-400,-101,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Sedentary-agricultural cultures of the South-Eastern Aral Sea region,Оседло-земледельческие культуры Юго-Восточного Приаралья,东南咸海地区的长期单一种植农业文化,Отырықшы-егіншілік мәдениеттер (Арал маңының оңтүстік-шығысы),Түштүк-Чыгыш Приаралланын отурукташуу жана дыйканчылык маданияттары,Маданиятҳои кишоварзи минтақаҳои ҷанубу шарқии назди Арал,Günorta-Gündogar Aral deňziniň sebitleýin oturymly oba hojalygy medeniýetleri,Janubi-sharqiy Orolbo‘yi o‘troq-dehqonlar madaniyati,Chrikirabad culture,Чирикрабатская культура,,Шірік-Рабат мәдениеті,Чирикрабат маданияты,Маданияти Чирикработ,Çrikirabad medeniýeti,Chirikrabot madaniyati,,,,,,,,,,,,,,,,,,,,,,,,,L2|Chrikirabad culture|Sedentary-agricultural cultures of the South-Eastern Aral Sea region
117,CP-2-0075,2,CP-1-0017,Zhetyasar culture,L2|Zhetyasar culture|Sedentary-agricultural cultures of the South-Eastern Aral Sea region,True,7th c BCE - 8th century CE,-700,800,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Sedentary-agricultural cultures of the South-Eastern Aral Sea region,Оседло-земледельческие культуры Юго-Восточного Приаралья,东南咸海地区的长期单一种植农业文化,Отырықшы-егіншілік мәдениеттер (Арал маңының оңтүстік-шығысы),Түштүк-Чыгыш Приаралланын отурукташуу жана дыйканчылык маданияттары,Маданиятҳои кишоварзи минтақаҳои ҷанубу шарқии назди Арал,Günorta-Gündogar Aral deňziniň sebitleýin oturymly oba hojalygy medeniýetleri,Janubi-sharqiy Orolbo‘yi o‘troq-dehqonlar madaniyati,Zhetyasar culture,Джетыасарская культура,七河地区文化,Жетіасар мәдениеті,Жетисар маданияты,Маданияти Ҷетиасар,Žetyasar medeniýeti,,,,,,,,,,"Early Iron Age: 7th-6th – 4th-3rd/2nd centuries BCE), Parthian-Sarmat period: 4th-3rd/2nd centuries BCE – 3rd-4th centuries CE, Sasanian and Early-Medieval (Pre-Islamic) period 3rd-4th – 7th-8th centuries CE","ранний железный век: VII-VI – IV-III/II вв .до н.э.), парфяно-сарматское время: IV-III/II вв до н.э. – III-IV вв. н.э., сасанидское и раннесредневековое (доисламское) время III-IV – VII-VIII вв. н.э.",早期铁器时代：公元前2/3-4-6-7世纪. 帕提亚和萨尔马提亚时期：公元前2-4世纪-公元前3-4世纪. 萨珊和早期中世纪时代（伊斯兰时期之前）：公元前3-4-7-8世纪,"Эрте темир доору: VII-VI-IV-III/II-кылымдар б.з.ч.), Парфян-сармат доору: IV-III/II-кылымдар б.з.ч. –III-IV кылымдар б.з, Сасанид жана орто кылымдын башында (исламга чейинки) III-IV-VII-VIII кылымдар б.з.","Асри аввали оҳан: асрҳои VII-VI – IV-III/II пеш аз милод), давраи порту-сармат: асрҳои IV-III/II пеш аз милод – асрҳои III-IV милодӣ, сосониён ва асри миёна (тоисломӣ) – III-IV – VII-VIII-уми милодӣ.","Irki Demir döwri: b.e.öň VII-VI asyrlardan - IV-III/II asyrlar aralygy), Parfiýa-Sarmat döwri: b.e.öň IV-III/II asyrdan -b.e. III-IV asyrlar aralygy, Sasanylar we Irki orta asyrlar (Yslamdan öňki) döwürler b.e. III-IV asyrdan - VII-VIII asyrlar aralygy","Ilk temir davri: miloddan avvalgi VII-VI-IV-III/II asrlar), Parfiya-sarmat davri: miloddan avvalgi IV-III/II asrlar - milodiy III-IV asrlar, Sosoniylar va ilk oʻrta asrlar (islomgacha boʻlgan davr) III-IV – VII-VIII asrlar.",,,,,,,,,,L2|Zhetyasar culture|Sedentary-agricultural cultures of the South-Eastern Aral Sea region
118,CP-1-0018,1,,Uncertain,L1|Uncertain|NA,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Uncertain,недостоверный,待定,Шүбәсіз емес / Дәлелденбеген,Анык эмес,номуайян,Näbelli,ishonchsiz/noaniq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1|Uncertain|NA
